Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
Herderschule ,29/ Jan/,29/ Jan/,1,35398,Gießen
8. Tag der Ausbildung,30/ Jan/,30/ Jan/,1,56414,Salz
Berufsinformationsbörse,30/ Jan/,30/ Jan/,1,56112,Lahnstein
"Berufsmesse ""Berufliche Schulen Büdingen""",30/ Jan/,30/ Jan/,1,63654,Büdingen
Berufliche Schulen des Wetteraukreises,30/ Jan/,30/ Jan/,1,63654,Büdingen
Berufsbörse GS Rastbachtal,1/ Feb/,1/ Feb/,1,D-66113,Saarbrücken
Berufsmesse BBS Bernkastel-Kues,1/ Feb/,1/ Feb/,1,54470,Bernkastel-Kues
BBS I - Technik,1/ Feb/,4/ Feb/,4,67657,Kaiserslautern
BBS Technik,2/ Feb/,4/ Feb/,3,67657,Kaiserslautern
Albert-Einstein-Schule,2/ Feb/,2/ Feb/,1,64401,Groß-Bieberau
Berufsinformationszentrum,4/ Feb/,4/ Feb/,1,66740,Saarlouis
Jacob-Grimm-Schule,5/ Feb/,5/ Feb/,1,34117,Kassel
Jobmesse der Agentur für Arbeit,11/ Feb/,11/ Feb/,1,56112,Lahnstein
Bertha-von-Suttner-Schule,11/ Feb/,12/ Feb/,2,61130,Nidderau
Landgraf- Ludwig- Gymnasium ,11/ Feb/,11/ Feb/,1,35396,Gießen
Dr.-Kurt-Schumacher-Schule,11/ Feb/,12/ Feb/,2,64354,Reinheim
Gymnasium am Mosbacher Berg,11/ Feb/,11/ Feb/,1,65187,Wiesbaden
Berufsinformationszentrum,11/ Feb/,11/ Feb/,1,34117,Kassel
Ausbildungsbörse der Agentur für Arbeit in der Rhein - Galerie,12/ Feb/,13/ Feb/,2,D-67071,Ludwigshafen
Berufsmesse BBS Prüm,12/ Feb/,12/ Feb/,1,54595,Prüm
Gymnasium Taunusstein,12/ Feb/,12/ Feb/,1,65232,Taunusstein
BBS I - Technik,12/ Feb/,12/ Feb/,1,67657,Kaiserslautern
Berufsinformationstag Idstein,13/ Feb/,13/ Feb/,1,65510,Idstein
"""Operation Karriere""",13/ Feb/,13/ Feb/,1,D-60323,Frankfurt
Bildungsmesse Rodgau,13/ Feb/,13/ Feb/,1,D-63110,Rodgau
Berufsinformationsmesse Bingen,13/ Feb/,13/ Feb/,1,D-55411,Bingen
Henry-Benrath-Schule,15/ Feb/,15/ Feb/,1,61169,Friedberg
Berufsorientierungstage 2016,16/ Feb/,16/ Feb/,1,D-36037,Fulda
Christliches Jugenddorfwerk Deutschland e.V.,16/ Feb/,16/ Feb/,1,55232,Alzey
Freiherr-vom-Stein-Schule,16/ Feb/,16/ Feb/,1,36037,Fulda
Berufsinformationszentrum,16/ Feb/,16/ Feb/,1,34117,Kassel
"Bildungsmesse ""Reichspräsident-Friedrich-Ebert-Schule""",17/ Feb/,17/ Feb/,1,34560,Fritzlar
Bischöfliches Angela-Merici-Gymnasium,17/ Feb/,17/ Feb/,1,54290,Trier
Reichspräsident-Friedrich-Ebert-Schule,17/ Feb/,17/ Feb/,1,34560,Fritzlar
Herweg-Blankertz-Schule,17/ Feb/,17/ Feb/,1,34369,Hofgeismar
Berufsinformationszentrum,18/ Feb/,18/ Feb/,1,35576,Wetzlar
Freiherr- vom- Stein- Schule ,19/ Feb/,19/ Feb/,1,35076,Gladenbach 
BBS Bad Dürkheim,22/ Feb/,23/ Feb/,2,67098,Bad Dürkheim
Truck on Tour EloKaBtl 932,22/ Feb/,25/ Feb/,4,35066,Frankenberg
Tümpelgartenschule,22/ Feb/,22/ Feb/,1,63452,Hanau
Berufsbildende Schule,22/ Feb/,23/ Feb/,2,67098,Bad Dürkheim
Berufsinformationszentrum,25/ Feb/,25/ Feb/,1,64295,Darmstadt
Berufsinformationszentrum,25/ Feb/,25/ Feb/,1,66538,Neunkirchen
Berufsinfobörse Bad Marienberg,26/ Feb/,26/ Feb/,1,56470,Bad Marienberg
Wettenberger Bildungsmesse,26/ Feb/,27/ Feb/,2,D-35429,Wettenberg
Goetheschule ,26/ Feb/,26/ Feb/,1,35579,Wetzlar
30. Ausbildungsbörse ,27/ Feb/,27/ Feb/,1,D-55543,Bad Kreuznach
Bildungsmesse Fulda,28/ Feb/,29/ Feb/,2,D-36037,Fulda
"""Take off """,1/ Mrz/,1/ Mrz/,1,D-54516,Wittlich
Markt der Berufe,1/ Mrz/,1/ Mrz/,1,76870,Kandel
Integrierte Gesamtschule,1/ Mrz/,1/ Mrz/,1,76870,Kandel
Jakob-Grimm-Schule,2/ Mrz/,2/ Mrz/,1,36199,Rotenburg a. d. Fulda
Haupt- und Realschule,2/ Mrz/,3/ Mrz/,2,63633,Birstein
Deutscher Interdisziplinärer Notfallmedizin Kongress DINK,3/ Mrz/,4/ Mrz/,2,D-56068,Koblenz
Berufsinformationszentrum,3/ Mrz/,3/ Mrz/,1,66111,Saarbrücken
Job-Info-Börse Babenhausen,4/ Mrz/,4/ Mrz/,1,64832,Babenhausen
Berufsinfo-Messe der Wirtschafsförderung GmbH,4/ Mrz/,5/ Mrz/,2,D-55232,Alzey
"BBS ""Südliche Weinstraße"" Bad Bergzabern",7/ Mrz/,9/ Mrz/,3,76887,Bad Bergzabern
Berufsbildende Schule Südliche Weinstraße,7/ Mrz/,9/ Mrz/,3,76887,Bad Bergzabern
Tag der offenen Tür Technisch-Wissenschaftl. Gymnasium,9/ Mrz/,9/ Mrz/,1,66763,Dillingen
"Praktikums- und Jobbörse ""Konrad-Haenisch-Schule""",9/ Mrz/,9/ Mrz/,1,60386,Frankfurt
Herzog-Wolfgang-Realschule plus,9/ Mrz/,9/ Mrz/,1,66482,Zweibrücken
"Infotag ""Fachoberschule Untermosel""",10/ Mrz/,10/ Mrz/,1,56330,Kobern-Gondorf
VDI Nachrichten Recruiting Tag,10/ Mrz/,10/ Mrz/,1,D-60327,Frankfurt
Friedrich-Schiller Realschule plus,10/ Mrz/,10/ Mrz/,1,67227,Frankenthal
Berufsinformationszentrum,10/ Mrz/,10/ Mrz/,1,66111,Saarbrücken
Ausbildungsbörse Bad Hersfeld,11/ Mrz/,12/ Mrz/,2,36251,Bad Hersfeld
Ausbildungsmesse Wiesbaden,11/ Mrz/,12/ Mrz/,2,D-65189,Wiesbaden
Tag der Berufe ,12/ Mrz/,12/ Mrz/,1,D-76744,Wörth
Integrierte Gesamtschule,12/ Mrz/,12/ Mrz/,1,76744,Wörth
Berufsinfotag Ahrweiler,14/ Mrz/,14/ Mrz/,1,53474,Bad Neuenahr-Ahrweiler
BBS Wörth,14/ Mrz/,15/ Mrz/,2,76744,Wörth
Gymnasium an der Heinzenswies,14/ Mrz/,14/ Mrz/,1,55743,Idar-Oberstein
Berufsbildende Schule Germersheim  ,14/ Mrz/,15/ Mrz/,2,76744,Wörth
"Berufsinformationstag ""Konrad-Lorenz-Schule""",15/ Mrz/,15/ Mrz/,1,61250,Usingen
BBS Naturwissenschaften,16/ Mrz/,16/ Mrz/,1,67059,Ludwigshafen
Hochschule Trier,16/ Mrz/,16/ Mrz/,1,54293,Trier
Berufsbildende Schule Naturwissenschaften,16/ Mrz/,16/ Mrz/,1,67059,Ludwigshafen
Feierliches Gelöbnis 1./LwAusbBtl ,17/ Mrz/,17/ Mrz/,1,D-67433,Neustadt
Trendmesse Fulda,17/ Mrz/,20/ Mrz/,4,36037,Fulda
Gymnasium Saarbrug,17/ Mrz/,17/ Mrz/,1,54439,Saarburg
Berufsinformationszentrum,17/ Mrz/,17/ Mrz/,1,35039,Marburg 
Berufsinformationszentrum,17/ Mrz/,17/ Mrz/,1,63067,Offenbach
Berufsinformationszentrum,17/ Mrz/,17/ Mrz/,1,65197,Wiesbaden
Ausbildungs- und Studienmesse Dautphetal,18/ Mrz/,19/ Mrz/,2,D-35232,Dautphetal
BEDA - Markt ,18/ Mrz/,20/ Mrz/,3,D-54634,Bitburg
"Ausbildungsmesse ""Bündnis Schule & Arbeit""",19/ Mrz/,19/ Mrz/,1,65428,Rüsselsheim
Jobmesse Deutschland Frankfurt,19/ Mrz/,20/ Mrz/,2,D-60327,Frankfurt
Gemeinschaftsschule St. Wendel,24/ Mrz/,24/ Mrz/,1,66606,St. Wendel
IT-Feldwebel-Camp FüUstgBtl 281,31/ Mrz/,1/ Apr/,2,54568,Gerolstein
Ausbildungsmesse BIZ Worms,1/ Apr/,1/ Apr/,1,D-67549,Worms
Berufskundliche Ausstellung,4/ Apr/,8/ Apr/,5,D-63739,Aschaffenburg
Staatliches Aufbaugymnasium,6/ Apr/,6/ Apr/,1,55232,Alzey
Bundeswehr-Infotag Agentur für Arbeit,7/ Apr/,7/ Apr/,1,67657,Kaiserslautern
"122. Kongress ""Deutsche Gesellschaft für Innere Medizin""",9/ Apr/,12/ Apr/,4,D-68161,Mannheim
BBS Germersheim,11/ Apr/,12/ Apr/,2,76726,Germersheim
Berufsbildende Schule Germersheim  ,11/ Apr/,12/ Apr/,2,76726,Germersheim
Rochus-Realschule Bingen,12/ Apr/,14/ Apr/,3,55411,Bingen
Rochus Realschule Plus,12/ Apr/,14/ Apr/,3,55411,Bingen
Berufsinformationszentrum,14/ Apr/,14/ Apr/,1,56410,Montabaur
Berufsinformationszentrum,14/ Apr/,14/ Apr/,1,56566,Neuwied
Georg-von-Neumayer-Schule,14/ Apr/,14/ Apr/,1,67292,Kirchheimbolanden
Azubi-& Studientage Koblenz,15/ Apr/,16/ Apr/,2,D-56075,Koblenz
"Berufsmesse ""Schloss Bieberstein""",16/ Apr/,16/ Apr/,1,36145,Hofbieber
Messe SPORT|FREIZEIT|REISEN ,16/ Apr/,17/ Apr/,2,D-54294,Trier
Hermann-Lietz-Schule,16/ Apr/,16/ Apr/,1,36145,Bieberstein
Truck on Tour ArtS,18/ Apr/,21/ Apr/,4,55743,Idar-Oberstein
Sophienschule,18/ Apr/,18/ Apr/,1,60487,Frankfurt
"Firmenkontaktmesse ""praxis@campus""",19/ Apr/,19/ Apr/,1,56075,Koblenz
Bundeswehr-Infotag Agentur für Arbeit Pirmasens,21/ Apr/,21/ Apr/,1,66953,Pirmasens
Berufsinformationszentrum,21/ Apr/,21/ Apr/,1,55131,Mainz
Integrierte Gesamtschule,21/ Apr/,21/ Apr/,1,67346,Speyer
Berufsinformationszentrum,21/ Apr/,21/ Apr/,1,66538,Neunkirchen
Berufsinformationsmesse,22/ Apr/,22/ Apr/,1,65439,Flörsheim
Einstieg Frankfurt,22/ Apr/,23/ Apr/,2,D-60327,Frankfurt
Hanauer Berufs- und Studienmesse,22/ Apr/,23/ Apr/,2,63450,Hanau
Gymnasium am Kurfürstlichen Schloss,22/ Apr/,22/ Apr/,1,55116,Mainz
Schillerschule,22/ Apr/,22/ Apr/,1,64625,Bensheim
Berufsbildende Schule Wirtschaft 1,22/ Apr/,22/ Apr/,1,67059,Ludwigshafen
Grimmelshausen-Gymnasium,23/ Apr/,23/ Apr/,1,63571,Gelnhausen
BBS Edenkoben,25/ Apr/,26/ Apr/,2,67480,Edenkoben
Berufsbildende Schule Südliche Weinstraße,25/ Apr/,26/ Apr/,2,76887,Edenkoben
"Firmeninformationstag ""FIT Uni Saarland""",27/ Apr/,27/ Apr/,1,D-66123,Saarbrücken
OpenAir-Konzert Big-Band der Bundeswehr,28/ Apr/,28/ Apr/,1,56727,Mayen
Girls-Day 2016 LwAusbBtl,28/ Apr/,28/ Apr/,1,76726,Germersheim
Girls-Day 2016 FüUstgBtl 281,28/ Apr/,28/ Apr/,1,54568,Gerolstein
Girls-Day 2016 Ausbildungswerkstatt St. Wendel,28/ Apr/,28/ Apr/,1,66606,St. Wendel
Girls-Day 2016 Ausbildungswerkstatt Bad Bergzabern,28/ Apr/,28/ Apr/,1,76887,Bad Bergzabern
Girls-Day 2016 Polygone,28/ Apr/,28/ Apr/,1,66851,Bann
Alfed-Delp-Schule,28/ Apr/,28/ Apr/,1,55595,Hargesheim
18. Ausbildungsinfotag,29/ Apr/,29/ Apr/,1,D-64807,Dieburg
Ausbildungsmesse der Agentur für Arbeit,29/ Apr/,30/ Apr/,2,D-76829,Landau
"Ausbildungs- und Karrieremesse ""Perspektive""",3/ Mai/,3/ Mai/,1,34225,Baunatal
VOCATIUM Mainz-Wiesbaden,3/ Mai/,4/ Mai/,2,D-55116,Mainz
"Firmenkontaktmesse ""Konaktiva""",10/ Mai/,10/ Mai/,1,D-64283,Darmstadt
19. Industrietag der FH Bingen,11/ Mai/,11/ Mai/,1,D-55411,Bingen
VOCATIUM Kassel ,11/ Mai/,12/ Mai/,2,D-34246,Vellmar
RettMobil,11/ Mai/,13/ Mai/,3,D-36037,Fulda
Integrierte Gesamtschule,11/ Mai/,11/ Mai/,1,66497,Contwig
Jobmesse Saar-Lor-Lux,12/ Mai/,12/ Mai/,1,66113,Saarbrücken
Berufsinformationszentrum,12/ Mai/,12/ Mai/,1,35390,Gießen 
Flugplatzfest Ailertchen,15/ Mai/,16/ Mai/,2,56459,Ailertchen
JobDay der Agentur für Arbeit Korbach,18/ Mai/,18/ Mai/,1,34497,Korbach
Berufsinformationszentrum,19/ Mai/,19/ Mai/,1,66111,Saarbrücken
Hessentag 2016,20/ Mai/,29/ Mai/,10,D-35745,Herborn
Pamina Schulzentrum,21/ Mai/,21/ Mai/,1,76863,Herxheim
Bw-Nationalmannschaft-Flieden,24/ Mai/,24/ Mai/,1,36103,Flieden
Landesturnfest Rheinland-Pfalz,25/ Mai/,29/ Mai/,5,66953,Pirmasens
VOCATIUM Westpfalz,31/ Mai/,1/ Jun/,2,D-67659,Kaiserslautern
"Karrieremesse ""meet@uni-trier""",2/ Jun/,2/ Jun/,1,D-54296,Trier
BFD-Jobbörse Koblenz,2/ Jun/,2/ Jun/,1,D-56075,Koblenz
Karolina-Burger-Realschule plus,2/ Jun/,2/ Jun/,1,67065,Ludwigshafen
Berufsinformationszentrum,2/ Jun/,2/ Jun/,1,66740,Saarlouis
33. Rheinland-Pfalz-Tag,3/ Jun/,5/ Jun/,3,D-55232,Alzey
gOFfit,3/ Jun/,4/ Jun/,2,D-63065,Offenbach
VOCATIUM Mittelhessen,7/ Jun/,8/ Jun/,2,D-35390,Gießen
"Nacht der Unternehmen ""JGU Mainz""",9/ Jun/,9/ Jun/,1,55128,Mainz
"Karrieremesse ""meet@thm-campus-friedberg""",9/ Jun/,9/ Jun/,1,D-61169,Friedberg
Technische Hochschule Mittelhessen,9/ Jun/,9/ Jun/,1,61169,Friedberg
Berufsinformationszentrum,9/ Jun/,9/ Jun/,1,54292,Trier
JobMedi Hessen,10/ Jun/,11/ Jun/,2,D-60327,Frankfurt
23. Berufsbildungsmesse der IHK Frankfurt,10/ Jun/,11/ Jun/,2,D-60327,Frankfurt
Tag der Bundeswehr,11/ Jun/,11/ Jun/,1,56070,Koblenz
Tag der Bundeswehr,11/ Jun/,11/ Jun/,1,54296,Trier
"Jahrestagung der Deutschen Gesellschaft für
Neurochirugie ( DGNC)",12/ Jun/,15/ Jun/,4,D-60327,Frankfurt
Realschule plus,14/ Jun/,14/ Jun/,1,67146,Deidesheim
Feierliches Gelöbnis 1./LwAusbBtl ,16/ Jun/,16/ Jun/,1,67368,Westheim
Ausbildungsmesse der IHK Simmern,18/ Jun/,18/ Jun/,1,55469,Simmern
VOCATIUM Trier,21/ Jun/,22/ Jun/,2,D-54290,Trier
Gemeinschaftsschule Neue Sandrennbahn,21/ Jun/,21/ Jun/,1,66424,Homburg
"Firmenkontaktmesse ""connect@HTW Saar""",22/ Jun/,22/ Jun/,1,D-66117,Saarbrücken
Tag der Ausbildung,23/ Jun/,23/ Jun/,1,35066,Frankenberg
Carl-von-Ossietzky-Schule,23/ Jun/,23/ Jun/,1,65197,Wiesbaden
Berufsinformationszentrum,23/ Jun/,23/ Jun/,1,34117,Kassel
Truck on Tour EloKaBtl 931,27/ Jun/,30/ Jun/,4,54550,Daun
IGS Herrstein,28/ Jun/,28/ Jun/,1,55756,Herrstein
VOCATIUM Rhein-Main,28/ Jun/,29/ Jun/,2,D-63065,Offenbach
Integrierte Gesamtschule,28/ Jun/,28/ Jun/,1,55756,Herrstein
Realschule Plus Birkenfeld,29/ Jun/,29/ Jun/,1,55765,Birkenfeld
OpenAir-Konzert Big-Band der Bundeswehr,29/ Jun/,29/ Jun/,1,56812,Cochem
Realschule Plus,29/ Jun/,29/ Jun/,1,55765,Birkenfeld
OpenAir-Konzert Big-Band der Bundeswehr,30/ Jun/,30/ Jun/,1,65385,Rüdesheim
Berufsinformationszentrum,30/ Jun/,30/ Jun/,1,66538,Neunkirchen
Absolventenkongress Rhein-Main,1/ Jul/,1/ Jul/,1,D-60327,Frankfurt
Leininger-Gymnasium,1/ Jul/,1/ Jul/,1,67269,Grünstadt
STEKA-Cup,2/ Jul/,2/ Jul/,1,54313,Schleidweiler
Truck on Tour FüUstgBtl 281,4/ Jul/,7/ Jul/,4,54568,Gerolstein
VOCATIUM Saarbrücken,7/ Jul/,8/ Jul/,2,D-66113,Saarbrücken
Berufsinformationszentrum,7/ Jul/,7/ Jul/,1,35390,Gießen 
Tag der Garnison,8/ Jul/,9/ Jul/,2,55743,Idar-Oberstein
Kreisjugendfeuerwehrzeltlager Schwalm-Eder,9/ Jul/,9/ Jul/,1,34295,Edermünde-Besse
RescueDay Freiw. Feuerwehr Nassau,9/ Jul/,9/ Jul/,1,56377,Nassau
Truck on Tour WTD 41,11/ Jul/,14/ Jul/,4,54296,Trier
Städtetour Pfalz,11/ Jul/,14/ Jul/,4,67567,Kaiserslautern
Berufsinformationswoche BBZ St. Ingbert,11/ Jul/,15/ Jul/,5,66386,St. Ingbert
Ausbildungsmesse Gesamtschule Ebsdorfergrund,12/ Jul/,12/ Jul/,1,35085,Ebsdorfergrund
Langenbergschule,12/ Jul/,12/ Jul/,1,69488,Birkenau
Berufsinformationszentrum,14/ Jul/,14/ Jul/,1,65549,Limburg 
Berufsinformationszentrum,14/ Jul/,14/ Jul/,1,35039,Marburg 
Berufsinformationszentrum,14/ Jul/,14/ Jul/,1,66111,Saarbrücken
18. Saar-Spektakel,5/ Aug/,7/ Aug/,3,D-66111,Saarbrücken
ADAC-Ralley,18/ Aug/,20/ Aug/,3,54291,Trier
Berufsinformationszentrum,25/ Aug/,25/ Aug/,1,66538,Neunkirchen
Traditionelle Nacht Schloß Oranienstein,26/ Aug/,26/ Aug/,1,D-65582,Diez
Berufsinformationszentrum,1/ Sep/,1/ Sep/,1,66740,Saarlouis
Heimat- und Soldatenfest Stadtallendorf,3/ Sep/,3/ Sep/,1,35260,Stadtallendorf
Tag der Behörden,6/ Sep/,6/ Sep/,1,D-56727,Mayen
BBS Bad Kreuznach,6/ Sep/,7/ Sep/,2,55543,Bad Kreuznach
Berufsbildende Schule Wirtschaft,6/ Sep/,7/ Sep/,2,55543,Bad Kreuznach
Berufsinformationszentrum,8/ Sep/,8/ Sep/,1,35039,Marburg 
Azubi-& Studientage Kassel,9/ Sep/,10/ Sep/,2,D-34125,Kassel
IHK Ausbildungs- und Studienmesse,9/ Sep/,10/ Sep/,2,35578,Wetzlar
Berufsinformationsmesse Rheinhessen,9/ Sep/,10/ Sep/,2,D-55116,Mainz
Ausbildungsplatzmesse der Wirtschaftsjunioren,10/ Sep/,10/ Sep/,1,66117,Saarbrücken
Tag der offenen Tür LLBrig 1,10/ Sep/,10/ Sep/,1,66822,Lebach
Tag der offenen Tür und Feierliches Gelöbnis LwAusbBtl,10/ Sep/,10/ Sep/,1,76726,Germersheim
Tag der Reservisten & Stadtfest Heusweiler,11/ Sep/,11/ Sep/,1,66265,Heusweiler
Pfälzer Wald Marathon,11/ Sep/,11/ Sep/,1,66953,Pirmasens
BBS Diez,12/ Sep/,16/ Sep/,5,65582,Diez
BBS Eisenberg,12/ Sep/,13/ Sep/,2,67304,Eisenberg
Berufsbildende Schule Donnersbergkreis,12/ Sep/,13/ Sep/,2,67304,Eisenberg
"Mariä Geburtsmarkt ""Grüne Woche""",13/ Sep/,13/ Sep/,1,66822,Lebach
Ausbildungsbörse Fritz-Walter-Stadion,14/ Sep/,14/ Sep/,1,67657,Kaiserslautern
VOCATIUM Region Koblenz,14/ Sep/,15/ Sep/,2,D-56112,Lahnstein
Neu-Isenburger Berufsinformationsbörse,15/ Sep/,15/ Sep/,1,63263,Neu-Isenburg
4. Jobinitiative Eifel,15/ Sep/,16/ Sep/,2,D-54634,Bitburg
Berufsinformationszentrum,15/ Sep/,15/ Sep/,1,56410,Montabaur
Berufsinformationszentrum,15/ Sep/,15/ Sep/,1,56566,Neuwied
"Berufsmesse ""Jakob-Grimm-Schule""",17/ Sep/,17/ Sep/,1,36199,Rothenburg
Perspektiven - 14. Berufs-und Bildungsmesse ,17/ Sep/,17/ Sep/,1,D-37269,Eschwege
Pellenzer Stellenbörse,18/ Sep/,18/ Sep/,1,56642,Kruft
BBS Donnerbergkreis,19/ Sep/,19/ Sep/,1,67806,Rockenhausen
Truck on Tour SanRgt 2,19/ Sep/,22/ Sep/,4,56477,Rennerod
Berufsbildende Schule Donnersbergkreis,19/ Sep/,19/ Sep/,1,67806,Rockenhausen
BBS Technik,20/ Sep/,21/ Sep/,2,55743,Idar-Oberstein
"""Abi was dann""",20/ Sep/,21/ Sep/,2,D-66117,Saarbrücken
Berufsbildende Schule Technik Harald-Fissler,20/ Sep/,21/ Sep/,2,55743,Idar-Oberstein
Zweibrücker Ausbildungsmesse,21/ Sep/,22/ Sep/,2,66482,Zweibrücken
Marktplatz Ausbildung 2016,22/ Sep/,22/ Sep/,1,D-36304,Alsfeld
Berufsinformationszentrum,22/ Sep/,22/ Sep/,1,66111,Saarbrücken
Kompetenztag Ausbildung,23/ Sep/,23/ Sep/,1,56203,Höhr-Grenzhausen
Sprungbrett,23/ Sep/,24/ Sep/,2,D-67063,Ludwigshafen
Ausbildungsmesse Südhessen,23/ Sep/,24/ Sep/,2,D-64293,Darmstadt
BBS Technik I,26/ Sep/,27/ Sep/,2,67059,Ludwigshafen
Truck on Tour TaktLwG 33,26/ Sep/,29/ Sep/,4,56828,Büchel
Berufsbildende Schule Technik 1,26/ Sep/,27/ Sep/,2,67059,Ludwigshafen
11. Jobbörse der IGS Koblenz,27/ Sep/,27/ Sep/,1,56070,Koblenz
BBS Kirn,27/ Sep/,28/ Sep/,2,55606,Kirn
Berufsbildende Schule,27/ Sep/,27/ Sep/,1,55606,Kirn
Tag der Sozialen Dienste und Öffentlichen Arbeitgeber,28/ Sep/,28/ Sep/,1,D-65232,Taunusstein
"Ausbildungsmesse ""Perspektiven""",29/ Sep/,29/ Sep/,1,67292,Kirchheimbolanden
Berufsinformationszentrum,29/ Sep/,29/ Sep/,1,63450,Hanau
Kanonikus Kir Realschule Plus,4/ Okt/,6/ Okt/,3,55122,Mainz
"Berufsinformationstag ""Heinrich-von-Brentano-Schule""",5/ Okt/,5/ Okt/,1,65239,Hochheim
Berufsinformationsbörse Pirmasens,6/ Okt/,6/ Okt/,1,66953,Pirmasens
Berufsinformationszentrum,6/ Okt/,6/ Okt/,1,64295,Darmstadt
Gymnasium Michelstadt,12/ Okt/,12/ Okt/,1,64720,Michelstadt
Berufsbildende Schule,25/ Okt/,26/ Okt/,2,66869,Kusel
Realschule plus,27/ Okt/,27/ Okt/,1,66869,Kusel
Berufsinformationszentrum,27/ Okt/,27/ Okt/,1,66538,Neunkirchen
Berufsinformationsmesse Sprendlingen,28/ Okt/,28/ Okt/,1,55576,Sprendlingen
HORIZON-Messe,29/ Okt/,30/ Okt/,2,D-55116,Mainz
Berufliche Schulen Rheingau,1/ Nov/,3/ Nov/,3,65366,Geisenheim
Berufsinformationszentrum,3/ Nov/,3/ Nov/,1,35390,Gießen 
11. Nacht der Technik,5/ Nov/,6/ Nov/,2,56068,Koblenz
Truck on Tour KampfHubSchrRgt 36,7/ Nov/,10/ Nov/,4,34560,Fritzlar
Rotary Berufsinformationsabend,8/ Nov/,8/ Nov/,1,65719,Hofheim
Berufsinformationszentrum,10/ Nov/,10/ Nov/,1,35039,Marburg 
Dreieicher Ausbildungsmesse ,11/ Nov/,11/ Nov/,1,63303,Dreieich
Messeforum Daun,11/ Nov/,11/ Nov/,1,54550,Daun
BBS Rodalben,14/ Nov/,17/ Nov/,4,66976,Rodalben
Berufsbildende Schule,14/ Nov/,17/ Nov/,4,66976,Rodalben
Perspektive 2016 - Parentum,16/ Nov/,16/ Nov/,1,35415,Pohlheim
"Ausbildungs- und Studieninfotag ""Heinrich-Metzendorf-Schule""",16/ Nov/,16/ Nov/,1,64625,Bensheim
