Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
Berufsinformationszentrum,7/ Jan/,7/ Jan/,1,35390,Gießen 
Realschule Plus,11/ Jan/,12/ Jan/,2,55435,Gau-Algesheim
Sebastian-Münster Gymnasium,13/ Jan/,13/ Jan/,1,55128,Ingelheim
Ohetalschule,14/ Jan/,14/ Jan/,1,34621,Frielendorf
Carl-Benz-Schule,18/ Jan/,22/ Jan/,5,56073,Koblenz
Berufsgespräche für angehende Abiturienten,20/ Jan/,20/ Jan/,1,D-67227,Frankenthal
Gymnasium Theresianum,20/ Jan/,20/ Jan/,1,55131,Mainz
Berufsinformationszentrum,21/ Jan/,21/ Jan/,1,35039,Marburg 
Berufsinformationszentrum,21/ Jan/,21/ Jan/,1,65549,Limburg 
Berufsinformationszentrum,21/ Jan/,21/ Jan/,1,56410,Montabaur
Kaiserin-Friedrich-Gymnasium,21/ Jan/,21/ Jan/,1,61352,Bad Homburg
Gustav-Stresemann-Gymnasium,21/ Jan/,21/ Jan/,1,34537,Bad Wildungen
Starkenburg-Gymnasium,22/ Jan/,22/ Jan/,1,64646,Heppenheim
"Bildungsmesse ""Kompass""",23/ Jan/,23/ Jan/,1,35037,Marburg
Eichendorffschule,23/ Jan/,23/ Jan/,1,65779,Kelkheim
Chance 2016,24/ Jan/,25/ Jan/,2,D-35398,Gießen
Integrierte Gesamtschule,25/ Jan/,25/ Jan/,1,55268,Nieder-Olm
Lichtenberg-Oberstufengymnasium,25/ Jan/,25/ Jan/,1,63486,Bruchköbel
Erich-Kästner-Schule,25/ Jan/,25/ Jan/,1,61440,Oberursel
Georg-von-Neumayer-Schule,25/ Jan/,25/ Jan/,1,67292,Kirchheimbolanden
BBZ Lebach,25/ Jan/,28/ Jan/,4,66822,Lebach
Bonding Kaiserslautern,26/ Jan/,26/ Jan/,1,D-67663,Kaiserslautern
Berufs-und Bewerbertag RS plus ,26/ Jan/,26/ Jan/,1,D-67133,Maxdorf
Gymnasium,26/ Jan/,26/ Jan/,1,55268,Nieder-Olm
Raelschule plus Bleialf,26/ Jan/,26/ Jan/,1,54608,Bleialf
Kreuzburgschule ,26/ Jan/,26/ Jan/,1,63512,Hainburg
Oberstufengymnasium,26/ Jan/,26/ Jan/,1,37269,Eschwege
Justus-von-Liebig-Realschule plus,26/ Jan/,26/ Jan/,1,67133,Maxdorf
Graf-Ludwig-Gemeinschaftsschule,26/ Jan/,27/ Jan/,2,66333,Völklingen
Disibod Realschule Plus,27/ Jan/,27/ Jan/,1,55566,Bad Sobernheim
Friedrich-List-Schule,27/ Jan/,27/ Jan/,1,34130,Kassel
Otfried-von-Weißenburg-Gymnasium,27/ Jan/,27/ Jan/,1,66994,Dahn
Berufsinfobörse Bendorf,28/ Jan/,28/ Jan/,1,56170,Bendorf
Wörrstädter Ausbildungsmesse,28/ Jan/,28/ Jan/,1,D-55286,Wörrstadt
Tag der Berufe in Uniform,28/ Jan/,28/ Jan/,1,67059,Ludwigshafen
Integrierte Gesamtschule,28/ Jan/,28/ Jan/,1,55268,Nieder-Olm
Anna-Schmidt-Schule ,28/ Jan/,28/ Jan/,1,60322,Frankfurt
Martin-Luther-King-Schule,28/ Jan/,28/ Jan/,1,34117,Kassel
