Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
"Studienmesse ""Abi-Talk""",4/ Mrz/,4/ Mrz/,1,39104,Magdeburg
"Mese ""StuZubi""",5/ Mrz/,5/ Mrz/,1,4105,Leipzig
BIZ Sangerhausen,7/ Mrz/,10/ Mrz/,4,6886,Sangerhausen
Ausbildungsmesse am Sandberg,9/ Mrz/,9/ Mrz/,1,8112,Wilkau-Haßlau
Berufsinformationstag Torgau,10/ Mrz/,10/ Mrz/,1,4860,Toragau
18. Forum Berufsstart Nordhausen,11/ Mrz/,12/ Mrz/,2,99734,Nordhausen
23. Berufs-Infomarkt,12/ Mrz/,12/ Mrz/,1,7743,Jena
Jobmesse Chemnitz,13/ Mrz/,13/ Mrz/,1,D-09116,Chemnitz
Schultour Chemnitz 1,14/ Mrz/,18/ Mrz/,5,D-09116,Chemnitz
09. Ostthüringer Studientage,16/ Mrz/,16/ Mrz/,1,7545,Gera
Unteroffiziersschule Delitzsch,16/ Mrz/,16/ Mrz/,1,4509,Delitzsch
Berufsinformationsbörse Sömmerda,17/ Mrz/,17/ Mrz/,1,99610,Sömmerda
Berufsorientierungsmesse Oberschule Brandis,17/ Mrz/,17/ Mrz/,1,4821,Brandis
Berufsfindungsmesse IHK,18/ Mrz/,18/ Mrz/,1,39104,Magdeburg
Hochschultag Bautzen 2016,19/ Mrz/,19/ Mrz/,1,2625,Bautzen
Schultour Wittenberg 1,21/ Mrz/,24/ Mrz/,4,D-06886,Wittenberg
Ausbildungsmesse Oberschule Bergstadt,23/ Mrz/,23/ Mrz/,1,8289,Schneeberg
"Messe ""Tierwelt""",1/ Apr/,3/ Apr/,3,39114,Magdeburg
Schultour Wittenberg 2,4/ Apr/,8/ Apr/,5,D-06886,Wittenberg
Schultour Magdeburg 1,11/ Apr/,15/ Apr/,5,D-39126,Magdeburg
vocatium Harz,14/ Apr/,14/ Apr/,1,38871,Ilsenburg
Deutscher Anesthesie Congress,14/ Apr/,16/ Apr/,3,4356,Leipzig
Elbdeichmarathon,16/ Apr/,17/ Apr/,2,39590,Tangermünde
Schuiltour Dresden 1,18/ Apr/,22/ Apr/,7,D-01219,Dresden
vocatium Dessau,20/ Apr/,21/ Apr/,2,6846,Dessau
Oberelbemarathon Dresden,24/ Apr/,24/ Apr/,1,D-01219,Dresden
Marathon Leipzig,24/ Apr/,24/ Apr/,1,4105,Leipzig
Schultour Mühlhausen 1,25/ Apr/,28/ Apr/,4,D-99974,Mühlhausen
vocatium Thüringen,26/ Apr/,27/ Apr/,2,99094,Erfurt
Zukunftstag,28/ Apr/,28/ Apr/,1,39576,Stendal
Girlsday KarrBB Leipzig,28/ Apr/,28/ Apr/,1,4509,Delitzsch
Röblinglauf Mühlhausen,29/ Apr/,29/ Apr/,1,D-99974,Mühlhausen
Schultour Wittenberg 3,2/ Mai/,4/ Mai/,3,D-06886,Wittenberg
vocatium Mitteldeutschland,3/ Mai/,4/ Mai/,2,4435,Schkeuditz
Schultour Chemnitz 2,9/ Mai/,13/ Mai/,5,D-09116,Chemnitz
vocatium Dresden,11/ Mai/,12/ Mai/,2,1067,Dresden
Blaulichttag Werdau,21/ Mai/,21/ Mai/,1,8412,Werdau
Schultour Magdeburg 2,23/ Mai/,26/ Mai/,4,D-39126,Magdeburg
vocatium Chemnitz/Zwickau,25/ Mai/,26/ Mai/,2,9116,Chemnitz
04. Insider Treff Löbau,28/ Mai/,28/ Mai/,1,D-02708,Löbau
Schultour Bautzen 1,30/ Mai/,3/ Jun/,5,D-02625,Bautzen
Stadtfest Leipzig,3/ Jun/,5/ Jun/,3,4356,Leipzig
07. JobFinder,11/ Jun/,11/ Jun/,1,99094,Erfurt
Tag der Bundeswehr,11/ Jun/,11/ Jun/,1,99084,Erfurt
Woche der offenen Unternehmen,13/ Jun/,16/ Jun/,1,4509,Delitzsch
Soccercup/ Beachvolleyballcup Zwickau ,13/ Jun/,18/ Jun/,6,D-08056,Zwickau
Firmenkontaktmesse Köthen,15/ Jun/,15/ Jun/,1,6366,Köthen
Schultour Wittenberg 4,20/ Jun/,24/ Jun/,5,6886,Wittenberg
DAK-Firmenlauf Bautzen 2016,22/ Jun/,22/ Jun/,1,2625,Bautzen
vocatium Magdeburg,22/ Jun/,23/ Jun/,2,39124,Barleben
Schulfest Sekundarschule Havelberg,24/ Jun/,24/ Jun/,1,39539,Havelberg
Trucktour Erfurt 1 ,27/ Jun/,30/ Jun/,4,99084,Erfurt
Tag der offenen Tür Friedenstein Kaserne Gotha,2/ Jul/,2/ Jul/,1,99867,Gotha
Haveltriathlon Havelberg,16/ Jul/,16/ Jul/,1,39539,Havelberg
Schultour Dresden 2,15/ Aug/,18/ Aug/,4,D-01219,Dresden
Stadtfest Dresden,19/ Aug/,21/ Aug/,3,D-01219,Dresden
Blaulichttag Halle,20/ Aug/,20/ Aug/,1,6114,Halle
Schultour Chemnitz 3,22/ Aug/,25/ Aug/,4,9116,Chemnitz
Tangermünder Lichterlauf,26/ Aug/,26/ Aug/,1,39590,Tangermünde
Stadtfest Chemnitz,26/ Aug/,28/ Aug/,3,9116,Chemnitz
Schultour Zwickau 1,29/ Aug/,2/ Sep/,5,8056,Zwickau
40. Arneburger Elbelauf,4/ Sep/,4/ Sep/,1,39596,Arneburg
Schultour Magdeburg 3,5/ Sep/,9/ Sep/,5,39126,Magdeburg
Sachsen-Anhalttag 2016,9/ Sep/,11/ Sep/,3,6526,Sangerhausen
Berufinformationsbörse Leipzig,10/ Sep/,10/ Sep/,1,4179,Leipzig
Schultour Mühlhausen 2,12/ Sep/,16/ Sep/,5,99974,Mühlhausen
BeSt BIZ Halberstadt,17/ Sep/,17/ Sep/,1,38820,Halberstadt
Jobmesse Leipzig,17/ Sep/,17/ Sep/,1,4356,Leipzig
Schultour Dresden 3,19/ Sep/,23/ Sep/,5,1219,Dresden
Perspektive Magdeburg,23/ Sep/,24/ Sep/,2,39114,Magdeburg
HWK/ IHK Dresden,24/ Sep/,24/ Sep/,1,1219,Dresden
Jobmesse Chemnitz,24/ Sep/,24/ Sep/,1,D-09116,Chemnitz
Schultour Halle 1,26/ Sep/,30/ Sep/,5,6108,Halle
FLORIAN 2016,6/ Okt/,8/ Okt/,3,6067,Dresden
Schultour Bautzen 2,17/ Okt/,21/ Okt/,5,2625,Bautzen
Tag der offenen Albertstadt,22/ Okt/,22/ Okt/,1,1099,Dresden
Schultour Gera/ Jena 1,24/ Okt/,28/ Okt/,1,7546,Gera
sportaktiv Erfurt,29/ Okt/,31/ Okt/,3,6886,Erfurt
Schultour Stendal 1,1/ Nov/,4/ Nov/,4,39576,Stendal
azubi&studientage Leipzig,4/ Nov/,5/ Nov/,2,4356,Leipzig
Schultour Erfurt 2,7/ Nov/,11/ Nov/,5,99084,Erfurt
Forum Berufsstart Erfurt,16/ Nov/,17/ Nov/,2,99094,Erfurt
