Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
Berufsmesse Gesamtschule Erfurt,11/ Jan/,11/ Jan/,1,99086,Erfurt
Tag der Berufsberatung ,12/ Jan/,12/ Jan/,1,39638,Gardelegen
17.Studien und Berufsorientierungstage,13/ Jan/,13/ Jan/,1,6526,Sangerhausen
Berufsmesse der Nessetalschule,13/ Jan/,13/ Jan/,1,99869,Warza
Tag der Berufe SKS Jessen-Elster,14/ Jan/,14/ Jan/,1,6917,Jessen
Chance Halle 2016,15/ Jan/,16/ Jan/,2,6114,Halle
Berufsfindungsmesse Schönebeck,16/ Jan/,16/ Jan/,1,39218,Schönebeck
1. Ausbildungstag Großenhain,16/ Jan/,16/ Jan/,1,1558,Großenhain
Tag der offenen Tür Regelschule Urstruttal,16/ Jan/,16/ Jan/,1,99974,Ammern
Bildungsmesse Lessing-Oberschule,18/ Jan/,18/ Jan/,1,4435,Schkeuditz
Berufsorientierungsmesse Conrad Tack,20/ Jan/,20/ Jan/,1,39288,Magdeburg
"Bewerberseminar ""Werner Seelenbinder""",20/ Jan/,20/ Jan/,1,39326,Zielitz
Tag der offenen Tür IGS,22/ Jan/,22/ Jan/,1,39126,Magdeburg
18. KarriereStart 2016,22/ Jan/,24/ Jan/,3,1067,Dresden
Berufsorientierungsmesse Bio-Seehotel,23/ Jan/,23/ Jan/,1,7937,Zeulenroda-Triebes
Berufepark Zittau,23/ Jan/,23/ Jan/,1,2763,Zittau
Tag des Domgymnasium Naumburg,23/ Jan/,23/ Jan/,1,6618,Naumburg
Job-Ausbildung-Praktikum Börse,23/ Jan/,23/ Jan/,1,6571,Bottendorf
TdoT Schule Rudolstadt,23/ Jan/,23/ Jan/,1,7407,Rudolstadt
TdoT Schule Unterwellenborn,23/ Jan/,23/ Jan/,1,7333,Unterwellenborn
Ausbildungsbörse Agentur für Arbeit,23/ Jan/,23/ Jan/,1,4159,Leipzig
Messe Motorräder und Roller Magdeburg,23/ Jan/,24/ Jan/,2,39114,Magdeburg
Ausbildungs-Qualifizierungsbörse Jerichower Land,27/ Jan/,27/ Jan/,1,39288,Burg
Oberschule Oeselnitz,28/ Jan/,28/ Jan/,1,8606,Oeselnitz
Berufs-Studienwahl des Ludwigsgymnasium,28/ Jan/,28/ Jan/,1,6366,Köthen
Schule-Firma-Info-Tag ,29/ Jan/,29/ Jan/,1,6308,Benndorf
Berufsmesse der Oberschule Mockrehna,29/ Jan/,29/ Jan/,1,4862,Mockrehna
Jobmesse Leipzig,30/ Jan/,30/ Jan/,1,4356,Leipzig
12. BOM Dinteroberschule ,30/ Jan/,30/ Jan/,1,4552,Borna
Zukunftsnavi Bautzen 2016,30/ Jan/,30/ Jan/,1,2625,Bautzen
14. ZUKUNFT HIER 2016,30/ Jan/,31/ Jan/,2,8056,Zwickau
Berufsmesse Gym. Auerbach,30/ Jan/,30/ Jan/,1,8209,Auerbach
BIZ Weißenfels,1/ Feb/,4/ Feb/,4,6667,Weißenfels
BIZ Halberstadt,1/ Feb/,3/ Feb/,2,38820,Halberstadt
Geschwister scholl Oberschule Auerbach,2/ Feb/,2/ Feb/,1,8209,Auerbach
Motorrad Messe Leipzig,5/ Feb/,7/ Feb/,3,4356,Leipzig
18. Hochschultag BIZ Oschatz,6/ Feb/,6/ Feb/,1,4758,Oschatz
Ausbildungsmesse Salzwedel,13/ Feb/,13/ Feb/,1,29410,Salzwedel
Regionalmesse Argentur für Arbeit,13/ Feb/,13/ Feb/,1,4600,Altenburg
Geschwister scholl Berufsbildende Schule BBS,13/ Feb/,13/ Feb/,1,38895,Böhnshausen
Beach&Boat Leipzig,18/ Feb/,21/ Feb/,4,4356,Leipzig
15. Nacht der Ausbildung,19/ Feb/,19/ Feb/,1,39104,Magdeburg
Berufsfindungsmesse SCHULEWIRTSCHAFT,20/ Feb/,20/ Feb/,1,6406,Bernburg
azubi&studientage ,27/ Feb/,28/ Feb/,2,9116,Chemnitz
Berufsorientierungsmesse BSZ 1,1/ Mrz/,1/ Mrz/,1,4289,Leipzig
Berufemarkt Kamenz,2/ Mrz/,2/ Mrz/,1,1917,Kamenz
Unteroffiziersschule Delitzsch,2/ Mrz/,2/ Mrz/,1,4509,Delitzsch
Berufsrallye George Schumann- Schule,2/ Mrz/,2/ Mrz/,1,4103,Leipzig
Bildungswerk Sächsische Wirtschaft,2/ Mrz/,2/ Mrz/,1,8412,Werdau
