Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
Tour de Prignitz,31/ Mai/,2/ Jun/,3,16928,Pritzwalk
Campus-X-Change,1/ Jun/,1/ Jun/,1,1886,Senftenberg
Vocatium Cottbus,1/ Jun/,2/ Jun/,2,3042,Cottbus
GT-Masters Lausitzring,3/ Jun/,5/ Jun/,3,1998,Schipkau
KISS Cup ,3/ Jun/,3/ Jun/,1,12435,Berlin
INKONTAKT,4/ Jun/,5/ Jun/,2,16303,Schwedt
Stick & Stones,4/ Jun/,5/ Jun/,2,10439,Berlin
INCONTAKT Schwedt,4/ Jun/,5/ Jun/,2,16303,Schwedt
Vocatium Frankfurt-Oder,7/ Jun/,8/ Jun/,2,15236,Frankfurt-Oder
Vocatium Berlin,15/ Jun/,16/ Jun/,2,10625,Berlin
Airbus Defence,16/ Jun/,19/ Jun/,4,85077,Manching
Stadtfest Bad Salzungen,18/ Jun/,18/ Jun/,1,36443,Bad Salzungen
InfoMobilTour OSZ Konrad-Wachsmann,21/ Jun/,23/ Jun/,3,15234,Frankfurt Oder
19. Berlin Dragon Citycup,25/ Jun/,25/ Jun/,1,12527,Berlin
NordJob Rostock,28/ Jun/,29/ Jun/,2,18106,Rostock
"""Nordjob"" Rostock",28/ Jun/,29/ Jun/,2,18157,Rostock
Warnemünder Wochen,2/ Jul/,3/ Jul/,2,18119,Warnemünde
Warnemünder Wochen,8/ Jul/,10/ Jul/,3,18119,Warnemünde
Operation Karriere,9/ Jul/,9/ Jul/,1,13353,Berlin
9. Hafentriathlon,16/ Jul/,16/ Jul/,1,39539,Havelberg
Bundesfinale Streetsoccer,23/ Jul/,24/ Jul/,2,18609,Prora
Hanse Sail,11/ Aug/,14/ Aug/,4,18119,Warnemünde
Hanse Sail,11/ Aug/,14/ Aug/,4,18157,Rostock
Tag der offenen Tür MTS Parow,20/ Aug/,20/ Aug/,1,18445,Parow
Flugplatzfest und Tag der Reservisten Gatow,27/ Aug/,28/ Aug/,2,14089,Berlin
Schwedter Studien u. Ausbildungsmesse,2/ Sep/,3/ Sep/,2,16303,Schwedt
15. Brandenburg-Tag,3/ Sep/,4/ Sep/,2,15366,Hoppegarten
Schulfest Carolinum,9/ Sep/,9/ Sep/,1,17235,Neustrelitz
Leistungsschau Uecker-Randow-Region,10/ Sep/,11/ Sep/,2,17309,Pasewalk
JobFactory ,23/ Sep/,24/ Sep/,2,18106,Rostock
InfoBörse Wismar,23/ Sep/,24/ Sep/,2,23966,Wismar
JobFactory,23/ Sep/,24/ Sep/,2,18157,Rostock
JobFactory ,23/ Sep/,24/ Sep/,2,18106,Rostock
jobvector,28/ Sep/,28/ Sep/,1,10553,Berlin
Vocatium Berlin 2,28/ Sep/,29/ Sep/,2,10836,Berlin
InfoMobilTour Eberswalde/Barnim,4/ Okt/,6/ Okt/,3,16225,Eberswalde
Digital Science Match Berlin,7/ Okt/,7/ Okt/,1,10243,Berlin
JobMesse,8/ Okt/,9/ Okt/,2,10587,Berlin
JobMesse,8/ Okt/,9/ Okt/,2,10587,Berlin
Schultour Cottbus,10/ Okt/,14/ Okt/,5,3042,Cottbus
Schultour Oberhavel,11/ Okt/,13/ Okt/,3,16761,Hennigsdorf
Vocatium Prenzlau,12/ Okt/,12/ Okt/,1,19053,Prenzlau
Bildungsmesse und Jobbörse Impuls A 10,6/ Nov/,6/ Nov/,1,15745,Wildau
Erlebnis- und Verbraucherausstellung  Lausitz-Messe 2016,19/ Nov/,20/ Nov/,2,1886,Senftenberg
Schultour BBS Ludwigstlust,28/ Nov/,2/ Dez/,5,19288,Ludwigslust
