Bezeichnung,Zeitraum,von - bis,Durchführungstage,Postleitzahl,Ort
Impuls 2016,8/ Jan/,9/ Jan/,2,3042,Cottbus
Schulvortrag,9/ Jan/,9/ Jan/,1,17348,Woldegk
Schulvortrag,12/ Jan/,12/ Jan/,1,10825,Berlin
MAFZ Brandenburghalle,13/ Jan/,14/ Jan/,2,14621,Schönewalde
Schulvortrag,13/ Jan/,13/ Jan/,1,12209,Berlin
Schulvortrag,14/ Jan/,14/ Jan/,1,15230,Frankfurt (Oder)
Schulmesse John Brinckmann Gymnasium,15/ Jan/,15/ Jan/,1,18273,Güstrow
Schulvortrag,15/ Jan/,15/ Jan/,1,42384,Sassnitz
Schulvortrag,15/ Jan/,15/ Jan/,1,12627,Berlin
AOK Traditionsmasters 2016,16/ Jan/,16/ Jan/,1,10437,Berlin
Tag der offenen Tür am Gymnasium Boizenburg,16/ Jan/,16/ Jan/,1,19258,Boizenburg
Tag der offenen Tür im BTZ der HwK Schwerin,16/ Jan/,16/ Jan/,1,19053,Schwerin
Schulvortrag,16/ Jan/,16/ Jan/,1,12459,Berlin
Schulvortrag,20/ Jan/,20/ Jan/,1,18528,Bergen auf Rügen
Viva Touristika Rostock,22/ Jan/,24/ Jan/,3,18106,Rostock
Handwerkerausstellung,23/ Jan/,24/ Jan/,2,3042,Cottbus
Ausbildungsmesse JOBBEX 2016 in Greifswald,23/ Jan/,23/ Jan/,1,17491,Greifswald
Schulvortrag,23/ Jan/,23/ Jan/,1,16909,Wittstock
Schulvortrag,25/ Jan/,25/ Jan/,1,13053,Berlin
Schulvortrag,25/ Jan/,25/ Jan/,1,03042,Cottbus
Wege in den Traumberuf Medien,26/ Jan/,26/ Jan/,1,10785,Berlin
Schulvortrag,26/ Jan/,26/ Jan/,1,14473,Potsdam
Schulvortrag,26/ Jan/,26/ Jan/,1,03046,Cottbus
 Karrierekompass,27/ Jan/,27/ Jan/,1,10963,Berlin
Schulvortrag,27/ Jan/,27/ Jan/,1,16775,Löwenberger Land
Schulvortrag,27/ Jan/,27/ Jan/,1,03042,Cottbus
6-Tage-Rennen Berlin,28/ Jan/,2/ Feb/,6,10407,Berlin
Schultour Prenzlau,28/ Jan/,28/ Jan/,1,17291,Prenzlau
Schulvortrag,28/ Jan/,28/ Jan/,1,15898,Neuzelle
Schulvortrag,28/ Jan/,28/ Jan/,1,16816,Neuruppin
Schulvortrag,29/ Jan/,29/ Jan/,1,19055,Schwerin
Schulvortrag,8/ Feb/,8/ Feb/,1,16816,Neuruppin
Schulvortrag,10/ Feb/,10/ Feb/,1,16816,Neuruppin
Ausbildungstage Berliner Zeitung,12/ Feb/,13/ Feb/,2,10178,Berlin
YouLab ,17/ Feb/,17/ Feb/,1,16515,Oranienburg
Tag der offnen Tür OSZ Prignitz,19/ Feb/,20/ Feb/,2,16816,Neuruppin
Schulvortrag,23/ Feb/,23/ Feb/,1,18507,Grimmen
Schulvortrag,24/ Feb/,24/ Feb/,1,16303,Schwedt/Oder
Schulvortrag,26/ Feb/,26/ Feb/,1,15848,Beeskow
OSZ Palmnicken,29/ Feb/,4/ Mrz/,5,15517,Fürstenwalde
Hanse Schau Wismar,3/ Mrz/,6/ Mrz/,4,23966,Wismar
Informationstag im Berufsinformationszentrum  der Agentur für Arbeit ,7/ Mrz/,11/ Mrz/,5,16225,Eberswalde
Schultour BBS Hagenow,7/ Mrz/,11/ Mrz/,5,19288,Ludwigstlust
Schulvortrag,8/ Mrz/,10/ Mrz/,3,15517,Fürstenwalde
Ostseemesse Rostock,9/ Mrz/,13/ Mrz/,5,18106,Rostock
InfoMobilTour Bautzen Hochschultag AfA Bautzen,15/ Mrz/,19/ Mrz/,5,2625,Bautzen
Jobinale Potsdam,16/ Mrz/,16/ Mrz/,1,14480,Potsdam
Gesundheit als Beruf,18/ Mrz/,19/ Mrz/,2,10787,Berlin
Schulvortrag,18/ Mrz/,18/ Mrz/,1,18609,Binz
NordJob Neubrandenburg,5/ Apr/,6/ Apr/,2,17033,Neubrandenburg
Schultour Uckermark,5/ Apr/,7/ Apr/,3,16303,Schwedt
Auto Trend Rostock,8/ Apr/,10/ Apr/,3,18106,Rostock
Kyffhäuser-Berglauf,9/ Apr/,9/ Apr/,1,6567,Bad Frankenhausen
Informationstag der Marine,13/ Apr/,13/ Apr/,1,18119,Rostock
Elbdeichmarathon,16/ Apr/,17/ Apr/,2,39590,Tangermünde
Internationale-Deutsche-Motorradmeisterschaft IDM,21/ Apr/,25/ Apr/,5,1998,Schipkau
StudyWorld,22/ Apr/,23/ Apr/,2,10625,Berlin
Wirtschafts- und Kulturtage Angermünde,23/ Apr/,24/ Apr/,2,16278,Angermünde
Connecticum,26/ Apr/,29/ Apr/,4,12161,Berlin
Ausbildungsbörse Vattenfall,27/ Apr/,27/ Apr/,1,2959,Schleife
Zukunftstag 2016 (Girls-/Boy-Day),28/ Apr/,28/ Apr/,1,39576,Klietz
Wassersportfest Regattastrecke Berlin Grünau,29/ Apr/,1/ Mai/,3,12527,Berlin
Flugplatzfest Welzow,6/ Mai/,8/ Mai/,3,3119,Welzow
Weitsprungmeeting Bad Langensalza,21/ Mai/,21/ Mai/,1,99947,Bad Langensalza
NordJob Schwerin,24/ Mai/,25/ Mai/,2,19053,Schwerin
Deutsche Tourenwagen Masters ,27/ Mai/,29/ Mai/,3,1998,Schipkau
Tag der offenen Tür PzGrenBtl 391,28/ Mai/,28/ Mai/,1,36433,Bad Salzungen
