Bezeichnung,Vom,Bis,Durchführungstage,Postleitzahl,Ort
Messe Beruf & Bildung Hannover,26/ Feb/,26/ Feb/,1,30175,Hannover
Messe Einstieg Hamburg,26/ Feb/,27/ Feb/,2,20357,Hamburg
Schulvortrag,26/ Feb/,26/ Feb/,1,31137,Hildesheim
Schultour BBS Witmund,29/ Feb/,2/ Mrz/,3,26409,Wittmund
Schulvortrag,29/ Feb/,2/ Mrz/,3,26409,Wittmund
Berufsforum Gymnasium am Wall,1/ Mrz/,1/ Mrz/,1,27283,Verden
Schulvortrag,1/ Mrz/,1/ Mrz/,1,27283,Verden
Late-Night-Jobbing,4/ Mrz/,4/ Mrz/,1,25746,Heide
Berufsinformationstag,4/ Mrz/,4/ Mrz/,1,29640,Schneverdingen
FSJ-Tag BBS I ,4/ Mrz/,4/ Mrz/,1,37085,Göttingen
Schulvortrag,4/ Mrz/,4/ Mrz/,1,37085,Göttingen
50. Niedersachsentag Junge Union,5/ Mrz/,5/ Mrz/,1,49377,Vechta
Berufsforum Förde Sparkasse,5/ Mrz/,5/ Mrz/,1,24103,Kiel
InfoWoche BIZ Emden,7/ Mrz/,11/ Mrz/,5,26721,Emden
Truppenbesuch 6./ FJgRgt 1,8/ Mrz/,8/ Mrz/,1,22589,Hamburg
BONA SZ,8/ Mrz/,9/ Mrz/,2,38226,Salzgitter
Tag der Ausbildung,9/ Mrz/,9/ Mrz/,1,D-25541,Brunsbüttel
Messe Parentum Wolfsburg,10/ Mrz/,10/ Mrz/,1,38440,Wolfsburg
Der öffentliche Dienst und Berufe in Uniform,10/ Mrz/,10/ Mrz/,1,23843,Bad Oldesloe
"""Markt der Berufe"" Roswitagymansium ",10/ Mrz/,10/ Mrz/,1,37581,Bad Gandersheim
Schulvortrag,10/ Mrz/,10/ Mrz/,1,37581,Bad Gandersheim
Northeimer Frühlingserwachen,11/ Mrz/,13/ Mrz/,3,37154,Northeim
Berufsinfobörse Gymnasium Stolzenau,12/ Mrz/,12/ Mrz/,1,31592,Stolzenau
Schulvortrag,12/ Mrz/,12/ Mrz/,1,37574,Einbeck
Schulvortrag,13/ Mrz/,13/ Mrz/,1,29640,Schneverdingen
Messe CeBIT,14/ Mrz/,18/ Mrz/,5,30521,Hannover
Elternabend Sek II BIZ Hannover,15/ Mrz/,15/ Mrz/,1,30159,Hannover
Berufsinformationsabend GemSch Viöl,16/ Mrz/,16/ Mrz/,1,D-25884,Viöl
Berufsfindungsmesse IGS Garbsen,16/ Mrz/,16/ Mrz/,1,30823,Garbsen
Berufsweltorientierung IGS Obernkirchen,16/ Mrz/,16/ Mrz/,1,31683,Obernkirchen
60 Jahre PzGrenBtl 92,3/ Apr/,3/ Apr/,1,29633,Munster
Messe Stade aktuell,8/ Apr/,10/ Apr/,3,21682,Stade
60 Jahre PzLBtl 93,9/ Apr/,9/ Apr/,1,29633,Munster
Messe Jobmesse Oldenburg,9/ Apr/,10/ Apr/,2,26123,Oldenburg
Messe Parentum Hildesheim,12/ Apr/,12/ Apr/,1,31134,Hildesheim
Messe 8.TALENTE Kompakt,13/ Apr/,14/ Apr/,2,22335,Hamburg
BIZ Informationsvortrag,14/ Apr/,14/ Apr/,1,38118,Braunschweig
Messe Parentum Hannover,16/ Apr/,16/ Apr/,1,30539,Hannover
3.NORD-Schau am Küstenkanal,16/ Apr/,17/ Apr/,2,26683,Saterland
31. Robby 2016,16/ Apr/,17/ Apr/,2,31535,Neustadt a.Rbge.
Gewerbeausstellung Schellerten,17/ Apr/,17/ Apr/,1,31174,Schellerten
Berufsinformationsmarkt BBS II Northeim,22/ Apr/,23/ Apr/,2,37154,Northeim
InForma,22/ Apr/,24/ Apr/,3,27732,Sulingen
Schulvortrag,22/ Apr/,23/ Apr/,2,37154,Northeim
Messe Jobmesse Lübeck,23/ Apr/,23/ Apr/,1,23554,Lübeck
Wunstorfer Wirtschaftswochen,23/ Apr/,24/ Apr/,2,31515,Wunstorf
Hannover Messe,25/ Apr/,26/ Apr/,5,30521,Hannover
Girls Day 2016 Fliegerhorst Diepholz,28/ Apr/,28/ Apr/,1,49356,Diepholz
Girls Day 2016 Oberschule Barnstorf,28/ Apr/,28/ Apr/,1,49406,Barnstorf
Berufeparcours Hannah-Arendt-Gym.,28/ Apr/,28/ Apr/,1,30890,Barsinghausen
Studieren ganz im Norden,30/ Apr/,30/ Apr/,1,24939,Flensburg
Flugtag Bohmte,1/ Mai/,1/ Mai/,1,49163,Bohmte
Meet @ hochschule Hannover ,3/ Mai/,3/ Mai/,1,30459,Hannover
Messe Vocatium Oldenburg,3/ Mai/,4/ Mai/,2,26123,Oldenburg
Hafengeburtstag Hamburg,6/ Mai/,8/ Mai/,3,20459,Hamburg
Messe Stellenwerk die Jobmesse Uni Hamburg,10/ Mai/,10/ Mai/,1,20148,Hamburg
Messe Nordjob Flensburg,10/ Mai/,11/ Mai/,2,24943,Flensburg
Orientierungsschau Berufe,11/ Mai/,12/ Mai/,2,23552,Lübeck
White Sands Festival Norderney,13/ Mai/,16/ Mai/,4,26548,Norderney
Messe Nordjob Neumünster,18/ Mai/,19/ Mai/,2,24534,Neumünster
Messe Vocatium Hannover,18/ Mai/,19/ Mai/,2,30175,Hannover
"Messe Firmenkontaktmesse ""Contacts"" Kiel",19/ Mai/,19/ Mai/,1,24103,Kiel
Osnabrücker Gewerbeschau,21/ Mai/,22/ Mai/,2,49080,Osnabrück
Militärkraftfahrzeugtreffen,21/ Mai/,22/ Mai/,2,31319,Sehnde
career Dates,25/ Mai/,25/ Mai/,1,30167,Hannover
BFD Kontaktbörse,26/ Mai/,26/ Mai/,1,24103,Kiel
Messe Vocatium Bremen,26/ Mai/,27/ Mai/,2,28215,Bremen
Berufsmesse BBS Diepholz,26/ Mai/,28/ Mai/,3,49356,Diepholz
Schulvortrag,26/ Mai/,26/ Mai/,1,37170,Uslar
Messe Ausbildungsmesse Süderelbe,27/ Mai/,27/ Mai/,1,21149,Hamburg
Truppenbesuch 6./ FJgRgt 1,31/ Mai/,31/ Mai/,1,22589,Hamburg
Messe Nordjob Kiel,31/ Mai/,1/ Jun/,2,24103,Kiel
Messe CEMAT,31/ Mai/,3/ Jun/,4,30521,Hannover
Messe Nordjob Lüneburger Heide,1/ Jun/,2/ Jun/,2,29553,Bienenbüttel
Messe Ausbildung 49 Osnabrück,1/ Jun/,2/ Jun/,2,49082,Osnabrück
2. BiB Gymnasium Großburgwedel,2/ Jun/,2/ Jun/,1,30938,Großburgwedel
Messe Einstieg Hannover,3/ Jun/,4/ Jun/,2,30521,Hannover
Messe Jobmesse Emsland,4/ Jun/,5/ Jun/,2,49808,Lingen
Felgen Fest Hameln,5/ Jun/,5/ Jun/,1,31785,Hameln
Messe Vocatium Harburg-Süderelbe,7/ Jun/,8/ Jun/,2,21073,Hamburg-Harburg
Messe Vocatium Region Braunschweig-Wolfsburg,8/ Jun/,9/ Jun/,2,38102,Braunschweig
Tag der Bundeswehr 2016,11/ Jun/,11/ Jun/,1,N.N.,Hamburg
Tag der Bundeswehr 2016,11/ Jun/,11/ Jun/,1,N.N.,Munster
Tag der Bundeswehr 2016,11/ Jun/,11/ Jun/,1,N.N.,Wilhelmshaven
"""Harzer Keilerrun""",11/ Jun/,12/ Jun/,2,37412,Hörden
MKW Aktionstage ,11/ Jun/,12/ Jun/,2,26629,Großefehn
Tag der Bundeswehr 2016,11/ Jun/,11/ Jun/,1,N.N.,Hohn
Tag der Bundeswehr 2016,11/ Jun/,11/ Jun/,1,N.N.,Bückeburg
Bleckeder Hafentage,12/ Jun/,12/ Jun/,1,21354,Bleckede
Woche der Schulen,13/ Jun/,16/ Jun/,4,26384,Wilhelmshaven
Messe Nordjob Lübeck,14/ Jun/,15/ Jun/,2,23554,Lübeck
BIZ Informationsvortrag,16/ Jun/,16/ Jun/,1,38440,Wolfsburg
Kongress Operation Karriere Hamburg,17/ Jun/,17/ Jun/,1,20246,Hamburg
Messe Absolventenkongreß Hamburg,17/ Jun/,17/ Jun/,1,20457,Hamburg
Beachvolleyball Tour,17/ Jun/,19/ Jun/,3,38118,Braunschweig
Messe Jobmesse Hannover,18/ Jun/,19/ Jun/,2,30539,Hannover
Kieler Woche Open Ship,18/ Jun/,19/ Jun/,2,24106,Kiel
Beach-Soccer-Cup,18/ Jun/,19/ Jun/,2,38550,Isenbüttel
Messe Nordjob Unterelbe-Westküste,21/ Jun/,22/ Jun/,2,25358,Horst
